MnFeCoNiAl
strain_r: 0.001
temperature: 300
element: Mn-Fe, Co-Ni, Al
ratio:50.0:50.0,50.0:50.0,100
structure: fcc
data:
Mn,Fe,Co,Ni,Al
12.60,12.09,11.12,10.94,16.472
338.84,26.375,262.89,199.1,65.498
130.52,8.9429,101.66,76.0,23.922
Start of Predicted Data
psA,psB,psC,Mn,Fe,Co,Ni,Al,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,tau_y0,Delta_Eb,Delta_sigma_ss
0.2,0.4,0.4,0.1,0.1,0.2,0.2,0.4,13.469800000000001,2.67070169302413,155.1187,59.04709,0.3135168896553582,0.017239214885950295,335.9601328980657,2.171039654329538,685.9778473900983
0.2,0.5,0.3,0.1,0.1,0.25,0.25,0.3,12.925600000000001,2.6342393723751045,171.6684,65.53789,0.30968818190515446,0.016921564062566646,364.1548570027941,2.2850908943442216,755.9889196217023
0.2,0.6,0.2,0.1,0.1,0.3,0.3,0.2,12.381400000000001,2.596738701900611,188.2181,72.02869,0.30654951520012363,0.014548362744636174,358.5353676127926,2.276942171395113,743.4815848137994
0.2,0.7,0.1,0.1,0.1,0.35,0.35,0.1,11.837200000000001,2.558122442292758,204.7678,78.51949,0.3039297631709019,0.009543597800963727,292.8129307510478,2.053980579653064,586.6557904543075
0.2,0.8,0.0,0.1,0.1,0.4,0.4,0.0,11.293000000000003,2.518303729535093,221.3175,85.01029,0.30171006356995145,0.001161125641642654,77.33310786131452,1.0478311276089074,108.67234993685811
0.3,0.0,0.7,0.15,0.15,0.0,0.0,0.7,15.233900000000002,2.7825439503447345,100.63085,37.664835,0.33587270460629925,0.007748153797466439,134.407365700774,1.2403782905168925,212.53360364559657
0.3,0.1,0.6,0.15,0.15,0.05,0.05,0.6,14.689700000000004,2.7490078169319725,117.18055,44.155635,0.32690368964232985,0.011388296778407222,198.29484519767288,1.572987215715345,356.50506767854404
0.3,0.2,0.5,0.15,0.15,0.1,0.1,0.5,14.145500000000004,2.7146328504268005,133.73025,50.646435,0.3202335959085767,0.014096384093008778,257.0466756729065,1.8469801417267562,495.0682854912938
0.3,0.3,0.4,0.15,0.15,0.15,0.15,0.4,13.601300000000004,2.6793645429366317,150.27995,57.137235,0.3150789498301765,0.015609220840027546,305.67386134850136,2.0569923105051013,612.7381845345973
0.3,0.4,0.3,0.15,0.15,0.2,0.2,0.3,13.057100000000002,2.643142488444039,166.82965,63.628035,0.3109759715194724,0.015593455678349561,336.06794766492067,2.184982784855759,687.6552105644491
0.3,0.5,0.2,0.15,0.15,0.25,0.25,0.2,12.512900000000002,2.605899467961614,183.37935,70.118835,0.3076326068452222,0.013624362054446965,335.1563912654999,2.1951416969756696,686.8391531200263
