MnFeCoNiAlCu
strain_r: 0.001
temperature: 300
element: Mn-Co, Fe-Ni, Al-Cu
ratio:50.0:50.0,50.0:50.0,50.0:50.0
structure: fcc
data:
Mn,Fe,Co,Ni,Al,Cu
12.60,12.09,11.12,10.94,16.472, 11.810
338.84,26.375,262.89,199.1,65.498, 128.6
130.52,8.9429,101.66,76.0,23.922, 48.0
Start of Predicted Data
psA,psB,psC,Mn,Co,Fe,Ni,Al,Cu,V_ave,b_ave,E_ave,mu_ave,nu_ave,sum_cnVn^2_b6,tau_y0,Delta_Eb,Delta_sigma_ss
0.2,0.45,0.35,0.1,0.1,0.225,0.225,0.175,0.175,12.5031,2.605218983962692,144.872025,54.9165025,0.319020862626858,0.01158167106683169,243.61873369384583,1.654961775384211,448.2301057106814
0.2,0.5,0.3,0.1,0.1,0.25,0.25,0.15,0.15,12.371800000000002,2.5960673955542637,145.65645,55.242025,0.3183482140634779,0.010660302364482063,231.42442842785275,1.6007951963104055,419.459756419762
0.2,0.55,0.25,0.1,0.1,0.275,0.275,0.125,0.125,12.240500000000003,2.586850826318333,146.440875,55.5675475,0.3176834464396687,0.009581461694176707,216.3777004156688,1.5359586009497381,384.64360387657797
0.2,0.6,0.2,0.1,0.1,0.3,0.3,0.1,0.1,12.109200000000001,2.5775681103316406,147.2253,55.89307,0.317026422059121,0.008335498661712602,197.95644786252487,1.457614726360352,342.8807361451976
0.2,0.65,0.15,0.1,0.1,0.325,0.325,0.075,0.075,11.977900000000002,2.568218047834762,148.009725,56.2185925,0.3163770064147373,0.006912139010927601,175.40540110165043,1.3611488950812087,292.941224946437
0.2,0.7,0.1,0.1,0.1,0.35,0.35,0.05,0.05,11.8466,2.5587994038670394,148.79415,56.544115,0.3157350680968303,0.00530043880493386,147.52219532086224,1.238168070646359,233.01209142470776
0.2,0.75,0.05,0.1,0.1,0.375,0.375,0.025,0.025,11.715300000000001,2.5493109068306508,149.578575,56.8696375,0.31510047870447555,0.003488734761507498,112.05684120529901,1.0702280244570612,160.06395212223276
0.2,0.8,0.0,0.1,0.1,0.4,0.4,0.0,0.0,11.584000000000001,2.5397512469792773,150.363,57.19516,0.314473112759891,0.001464590376133199,63.06806870190559,0.7961711588308709,67.65537029430708
0.25,0.0,0.75,0.125,0.125,0.0,0.0,0.375,0.375,13.570750000000002,2.677356991007897,148.003,55.99325,0.32161465890977925,0.014084160233305916,285.18763186950423,1.9624586657474135,562.0821563460156
0.25,0.05,0.7,0.125,0.125,0.025,0.025,0.35,0.35,13.43945,2.668694319722312,148.787425,56.3187725,0.3209398784392894,0.014146603610061525,287.1161266294346,1.9556915810014612,565.1621629585276
0.25,0.1,0.65,0.125,0.125,0.05,0.05,0.325,0.325,13.308150000000003,2.659975041698453,149.57185,56.644295,0.32027285360335056,0.014111440907673842,287.7259540792303,1.9442351093678565,565.1299481514848
0.25,0.15,0.6,0.125,0.125,0.075,0.075,0.3,0.3,13.17685,2.6511982230219666,150.356275,56.9698175,0.3196134514561153,0.013972770309517648,286.91794491682936,1.9278638453878727,561.7653730269207
0.25,0.2,0.55,0.125,0.125,0.1,0.1,0.275,0.275,13.045550000000004,2.642362904878968,151.1407,57.29534,0.31896154207305516,0.013724331054472138,284.5753435202807,1.9062689119532128,554.8146211579397
0.25,0.25,0.5,0.125,0.125,0.125,0.125,0.25,0.25,12.914250000000001,2.6334681026339974,151.925125,57.6208625,0.31831699846561645,0.013359478958606216,280.560031354281,1.8790375297655046,543.9836885936213
0.25,0.3,0.45,0.125,0.125,0.15,0.15,0.225,0.225,12.782950000000001,2.624512804864094,152.70955,57.946385,0.31767969649875494,0.012871160040319725,274.7072178639169,1.8456221176029162,528.9294467521485
0.25,0.35,0.4,0.125,0.125,0.175,0.175,0.2,0.2,12.651650000000002,2.6154959723463964,153.493975,58.2719075,0.3170495148112322,0.012251882082686481,266.8178026605711,1.805292902446321,509.2471059044656
0.25,0.4,0.35,0.125,0.125,0.2,0.2,0.175,0.175,12.52035,2.606416536996543,154.2784,58.59743,0.3164263347385714,0.011493683950381453,256.6470268262271,1.7570631050631473,484.4520983166014
0.25,0.45,0.3,0.125,0.125,0.225,0.225,0.15,0.15,12.38905,2.5972734007549345,155.062825,58.9229525,0.3158100402385642,0.010588102460420051,243.88688079649305,1.6995657176868961,453.95286232470136
0.25,0.5,0.25,0.125,0.125,0.25,0.25,0.125,0.125,12.257750000000001,2.588065434417706,155.84725,59.248475,0.31520051781923497,0.009526136585770523,228.1372977564655,1.6308385963052783,417.00786793990665
0.25,0.55,0.2,0.125,0.125,0.275,0.275,0.1,0.1,12.12645,2.5787914764090605,156.631675,59.5739975,0.3145976564691668,0.008298208748477524,208.8554703763416,1.547919837680122,372.6532163538823
0.25,0.6,0.15,0.125,0.125,0.3,0.3,0.075,0.075,11.99515,2.569450331491332,157.4161,59.89952,0.31400134759009757,0.006894122933975706,185.25755947292274,1.446001722707676,319.5696048545401
0.25,0.65,0.1,0.125,0.125,0.325,0.325,0.05,0.05,11.86385,2.5600407694089133,158.200525,60.2250425,0.31341148493170423,0.005303019330459461,156.09948565482784,1.31637136787687,255.80607871234727
0.25,0.7,0.05,0.125,0.125,0.35,0.35,0.025,0.025,11.73255,2.550561523461883,158.98495,60.550565,0.3128279645284895,0.0035133251661472807,119.06663215856199,1.140013607617395,178.0880255932548
0.25,0.75,0.0,0.125,0.125,0.375,0.375,0.0,0.0,11.60125,2.541011289004853,159.769375,60.8760875,0.3122506846386932,0.0015127013826271305,68.13980821141804,0.8550511436389591,79.38605465958476
0.3,0.0,0.7,0.15,0.15,0.0,0.0,0.35,0.35,13.456700000000001,2.66983561878882,158.1938,59.9997,0.31828825810795713,0.013972600411811517,300.9884988777768,2.069433843348342,604.6206918197142
0.3,0.05,0.65,0.15,0.15,0.025,0.025,0.325,0.325,13.325400000000002,2.6611238304373805,158.978225,60.3252225,0.31767624230478386,0.013947199029187523,301.70632256235666,2.0572421468483304,604.8108408835326
0.3,0.1,0.6,0.15,0.15,0.05,0.05,0.3,0.3,13.194100000000002,2.652354625530993,159.76265,60.650745,0.31707079608008115,0.013818983349447232,300.93171903640126,2.039836276683017,601.4539284550757
0.3,0.15,0.55,0.15,0.15,0.075,0.075,0.275,0.275,13.062800000000003,2.6435270485787283,160.547075,60.9762675,0.3164718142185401,0.013581737015405453,298.5435879620192,2.0168985635654395,594.2830453571049
0.3,0.2,0.5,0.15,0.15,0.1,0.1,0.25,0.25,12.931500000000003,2.6346401183916734,161.3315,61.30179,0.3158791937396934,0.01322886335802687,294.39854185117775,1.9880019051603768,582.9884389016395
0.3,0.25,0.45,0.15,0.15,0.125,0.125,0.225,0.225,12.800200000000004,2.6256928271229096,162.115925,61.6273125,0.3152928338388925,0.012753359266909212,288.3254085032656,1.9525776539142754,567.2079943197429
0.3,0.3,0.4,0.15,0.15,0.15,0.15,0.2,0.2,12.6689,2.6166841392613707,162.90035,61.952835,0.31471263583014397,0.012147787019761283,280.11732134246034,1.909866317892926,546.5138576144133
0.3,0.35,0.35,0.15,0.15,0.175,0.175,0.175,0.175,12.5376,2.6076129905768752,163.684775,62.2783575,0.31413850309074065,0.011404243890426546,269.51997254553004,1.8588397402815398,520.3930747367295
0.3,0.4,0.3,0.15,0.15,0.2,0.2,0.15,0.15,12.406300000000002,2.5984782870134056,164.4692,62.60388,0.31357034100761805,0.010514329337087876,256.213421591999,1.7980730378459706,488.2184685010921
0.3,0.45,0.25,0.15,0.15,0.225,0.225,0.125,0.125,12.275000000000002,2.5892789035275365,165.253625,62.9294025,0.3130080569253777,0.009469109552391048,239.782351722313,1.7255215969486788,449.2025952691663
0.3,0.5,0.2,0.15,0.15,0.25,0.25,0.1,0.1,12.143700000000003,2.5800136828686737,166.03805,63.254925,0.31245156009591346,0.008259079135104305,219.66384943586658,1.6381021644524743,402.32007564998815
0.3,0.55,0.15,0.15,0.15,0.275,0.275,0.075,0.075,12.012400000000003,2.57068143429751,166.822475,63.5804475,0.31190076162958746,0.006874119618312168,195.0464408125856,1.5308198220858018,346.16468004981033
0.3,0.6,0.1,0.15,0.15,0.3,0.3,0.05,0.05,11.881100000000002,2.5612809322388745,167.6069,63.90597,0.31135557444789597,0.0053034545617113215,164.64596427016863,1.3946537489742918,278.6520688512347
